Puzzle,Category,Time(millis),Date(millis),Scramble,Penalty,Comment
"333";"Beginner's method";"79130";"1664715606621";"F2 U' L F R B' U2 D' L2 B' D' B2 D2 R F2 R2 D2 R'";"0";""
"333";"Beginner's method";"102150";"1664715756318";"R U' F2 R F B2 R F L' F L' U' F2 U F2 D2 F2 L2 D2";"0";""
"333";"Beginner's method";"91900";"1664715881851";"L' U D' L B D2 F U F2 B R' B2 L' B2 U2 R2 U2 L U2";"0";""
"333";"Beginner's method";"70710";"1664812696472";"R2 U' F2 R2 U R2 D2 B2 F2 L2 U L U' F2 L D' F2 U B D R'";"0";""
"333";"Beginner's method";"99930";"1664812998156";"F' L2 D2 F L2 D2 R2 U2 R2 B F D F' R B' R B2 F' D2 R U'";"0";""
"333";"Beginner's method";"94090";"1664813145699";"U2 L2 B2 U2 L D2 R' D2 R2 B' F2 L2 D' L2 F' D' R2 B2 L' U";"0";""
"333";"Beginner's method";"100580";"1664827605124";"B2 F2 U' R2 B2 D2 R2 F2 D B2 U R U' B' L' D' R B2 U F' U2";"0";""
"333";"Beginner's method";"116980";"1664827778915";"D B2 D U B2 R2 B2 L2 F U2 R' F' L D2 U' R D L' D2";"0";""
"333";"Beginner's method";"94230";"1664900773292";"L U2 L D2 F2 L B2 F2 L' D2 B' U' R U' L' F L' D' U2 R'";"0";""
"333";"Beginner's method";"97280";"1664900914516";"U D2 B' R' F U F L2 F L2 B U D' L2 B2 U' F2 R2 U";"0";""
"333";"Beginner's method";"73940";"1664901034777";"R B2 U2 B2 D2 R F2 R B2 F' L' U R' U2 L' R' U2 F2";"0";""
"333";"Beginner's method";"96640";"1664901174593";"B' R2 F' D F' D' R F2 U' F' L2 B2 L2 U2 F B' U2 F2 R2";"0";""
"333";"Beginner's method";"75980";"1664901296349";"B2 R B' U D R2 L2 B R' B' D2 F2 U2 B' U2 L2 B R2 F'";"0";""
"333";"Beginner's method";"88970";"1664901677960";"R U2 D F R U' F D F R' U2 L2 U F2 R2 F2 B2 U' L2 U";"0";""
"333";"Beginner's method";"102700";"1665044153398";"F2 U2 D' F2 B R L' F2 D F2 U F2 U2 B R2 F' B' R2";"0";""
"333";"Beginner's method";"78560";"1665044288851";"L2 D2 U2 B R2 U2 B' L2 F' L' R2 B' R' D U B2 L' B U' R'";"0";""
"333";"Beginner, white cross down";"93270";"1665059605141";"R' B2 L' F2 R F2 L2 F2 L' F2 R' U L R2 U' B' D' F2 U2 B U'";"0";""
"333";"Beginner, white cross down";"78980";"1665059738940";"L2 F2 D2 L2 D F2 R2 U2 B D' F L D' F' D' U F D2 L' U2";"0";""
"333";"Beginner, white cross down";"87000";"1665059896316";"D2 L' D2 R U2 F2 U2 R2 U L' R2 B D' R2 U2 F L2 D' B";"0";""
